kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
10130039,K01909.03,Kepler-334 d,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,25.09852783,145.56678,0.0327,2.7865,196.7,1.39,631,37.55,29,3,q1_q12_tce,5827,4.421,0.999,287.14066,47.115189,12.776
6949061,K01960.02,Kepler-343 c,CONFIRMED,CANDIDATE,,0,0,0,0,23.2218189,151.06889,0.0536,2.507,212.9,1.53,689,53.23,16.4,2,q1_q12_tce,6122,4.41,1.047,291.96069,42.43301,14.128
7269493,K01961.01,Kepler-1027 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,1.907805199,131.64063,0.0449,1.8531,125.4,1.9,1859,2820.62,51.9,1,q1_q12_tce,5537,3.949,1.714,287.57117,42.813919,12.852
5959753,K00226.01,Kepler-496 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,8.30864937,138.10889,0.0993,3.221,862.4,1.97,700,56.78,71.7,1,q1_q12_tce,5188,4.645,0.685,291.6409,41.241039,14.817
7269493,K01961.02,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,76.642481,143.224,0.1653,5.476,64.5,1.36,542,20.44,7.6,,,5537,3.949,1.714,287.57117,42.813919,12.852
5513648,K01962.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,32.85862532,133.51233,0.9266,2.904,160.4,2.28,697,55.7,36.3,1,q1_q12_tce,5904,4.132,1.47,284.23398,40.79454,10.77
10917681,K01963.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,12.89621688,136.8282,0.9732,2.6,424.8,2.54,783,89.02,39.8,1,q1_q12_tce,6072,4.51,0.923,290.60745,48.357182,14.107
6356207,K02021.01,Kepler-1059 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,3.764191048,132.35098,0.1716,2.0596,598.7,1.74,909,161.24,33,1,q1_q12_tce,5065,4.617,0.728,289.22021,41.706478,15.484
8564674,K02022.01,Kepler-349 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,5.92973644,135.49505,0.1442,2.4534,430.1,1.89,987,224.5,39.1,1,q1_q12_tce,5941,4.519,0.911,293.67648,44.615582,14.746
8564674,K02022.02,Kepler-349 c,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,12.24764145,138.21965,0.046,3.3744,469.7,1.97,775,85.38,41,2,q1_q12_tce,5941,4.519,0.911,293.67648,44.615582,14.746
